filename,class_id
00000.png,0
00001.png,0
00002.png,0
00003.png,0
00004.png,0
00005.png,0
00006.png,0
00007.png,0
00008.png,0
00009.png,0
00010.png,0
00011.png,0
00012.png,0
00013.png,0
00014.png,0
00015.png,0
00016.png,0
00017.png,0
00018.png,0
00019.png,0
00020.png,0
00021.png,0
00022.png,0
00023.png,0
00024.png,0
00025.png,0
00026.png,0
00027.png,0
00028.png,0
00029.png,0
00030.png,0
00031.png,0
00032.png,0
00033.png,0
00034.png,0
00035.png,0
00036.png,0
00037.png,0
00038.png,0
00039.png,0
00040.png,0
00041.png,0
00042.png,0
00043.png,0
00044.png,0
00045.png,0
00046.png,0
00047.png,0
00048.png,0
00049.png,0
00050.png,0
00051.png,0
00052.png,0
00053.png,0
00054.png,0
00055.png,0
00056.png,0
00057.png,0
00058.png,0
00059.png,0
00060.png,0
00061.png,0
00062.png,0
00063.png,0
00064.png,0
00065.png,0
00066.png,0
00067.png,0
00068.png,0
00069.png,0
00070.png,0
00071.png,0
00072.png,0
00073.png,0
00074.png,0
00075.png,0
00076.png,0
00077.png,0
00078.png,0
00079.png,0
00080.png,0
00081.png,0
00082.png,0
00083.png,0
00084.png,0
00085.png,0
00086.png,0
00087.png,0
00088.png,0
00089.png,0
00090.png,0
00091.png,0
00092.png,0
00093.png,0
00094.png,0
00095.png,0
00096.png,0
00097.png,0
00098.png,0
00099.png,0
00100.png,0
00101.png,0
00102.png,0
00103.png,0
00104.png,0
00105.png,0
00106.png,0
00107.png,0
00108.png,0
00109.png,0
00110.png,0
00111.png,0
00112.png,0
00113.png,0
00114.png,0
00115.png,0
00116.png,0
00117.png,0
00118.png,0
00119.png,0
00120.png,0
00121.png,0
00122.png,0
00123.png,0
00124.png,0
00125.png,0
00126.png,0
00127.png,0
00128.png,0
00129.png,0
00130.png,0
00131.png,0
00132.png,0
00133.png,0
00134.png,0
00135.png,0
00136.png,0
00137.png,0
00138.png,0
00139.png,0
00140.png,0
00141.png,0
00142.png,0
00143.png,0
00144.png,0
00145.png,0
00146.png,0
00147.png,0
00148.png,0
00149.png,0
00150.png,0
00151.png,0
00152.png,0
00153.png,0
00154.png,0
00155.png,0
00156.png,0
00157.png,0
00158.png,0
00159.png,0
00160.png,0
00161.png,0
00162.png,0
00163.png,0
00164.png,0
00165.png,0
00166.png,0
00167.png,0
00168.png,0
00169.png,0
00170.png,0
00171.png,0
00172.png,0
00173.png,0
00174.png,0
00175.png,0
00176.png,0
00177.png,0
00178.png,0
00179.png,0
00180.png,0
00181.png,0
00182.png,0
00183.png,0
00184.png,0
00185.png,0
00186.png,0
00187.png,0
00188.png,0
00189.png,0
00190.png,0
00191.png,0
00192.png,0
00193.png,0
00194.png,0
00195.png,0
00196.png,0
00197.png,0
00198.png,0
00199.png,0
00200.png,0
00201.png,0
00202.png,0
00203.png,0
00204.png,0
00205.png,0
00206.png,0
00207.png,0
00208.png,0
00209.png,0
00210.png,1
00211.png,1
00212.png,1
00213.png,1
00214.png,1
00215.png,1
00216.png,1
00217.png,1
00218.png,1
00219.png,1
00220.png,1
00221.png,1
00222.png,1
00223.png,1
00224.png,1
00225.png,1
00226.png,1
00227.png,1
00228.png,1
00229.png,1
00230.png,1
00231.png,1
00232.png,1
00233.png,1
00234.png,1
00235.png,1
00236.png,1
00237.png,1
00238.png,1
00239.png,1
00240.png,1
00241.png,1
00242.png,1
00243.png,1
00244.png,1
00245.png,1
00246.png,1
00247.png,1
00248.png,1
00249.png,1
00250.png,1
00251.png,1
00252.png,1
00253.png,1
00254.png,1
00255.png,1
00256.png,1
00257.png,1
00258.png,1
00259.png,1
00260.png,1
00261.png,1
00262.png,1
00263.png,1
00264.png,1
00265.png,1
00266.png,1
00267.png,1
00268.png,1
00269.png,1
00270.png,1
00271.png,1
00272.png,1
00273.png,1
00274.png,1
00275.png,1
00276.png,1
00277.png,1
00278.png,1
00279.png,1
00280.png,1
00281.png,1
00282.png,1
00283.png,1
00284.png,1
00285.png,1
00286.png,1
00287.png,1
00288.png,1
00289.png,1
00290.png,1
00291.png,1
00292.png,1
00293.png,1
00294.png,1
00295.png,1
00296.png,1
00297.png,1
00298.png,1
00299.png,1
00300.png,1
00301.png,1
00302.png,1
00303.png,1
00304.png,1
00305.png,1
00306.png,1
00307.png,1
00308.png,1
00309.png,1
00310.png,1
00311.png,1
00312.png,1
00313.png,1
00314.png,1
00315.png,1
00316.png,1
00317.png,1
00318.png,1
00319.png,1
00320.png,1
00321.png,1
00322.png,1
00323.png,1
00324.png,1
00325.png,1
00326.png,1
00327.png,1
00328.png,1
00329.png,1
00330.png,1
00331.png,1
00332.png,1
00333.png,1
00334.png,1
00335.png,1
00336.png,1
00337.png,1
00338.png,1
00339.png,1
00340.png,1
00341.png,1
00342.png,1
00343.png,1
00344.png,1
00345.png,1
00346.png,1
00347.png,1
00348.png,1
00349.png,1
00350.png,1
00351.png,1
00352.png,1
00353.png,1
00354.png,1
00355.png,1
00356.png,1
00357.png,1
00358.png,1
00359.png,1
00360.png,1
00361.png,1
00362.png,1
00363.png,1
00364.png,1
00365.png,1
00366.png,1
00367.png,1
00368.png,1
00369.png,1
00370.png,1
00371.png,1
00372.png,1
00373.png,1
00374.png,1
00375.png,1
00376.png,1
00377.png,1
00378.png,1
00379.png,1
00380.png,1
00381.png,1
00382.png,1
00383.png,1
00384.png,1
00385.png,1
00386.png,1
00387.png,1
00388.png,1
00389.png,1
00390.png,1
00391.png,1
00392.png,1
00393.png,1
00394.png,1
00395.png,1
00396.png,1
00397.png,1
00398.png,1
00399.png,1
00400.png,1
00401.png,1
00402.png,1
00403.png,1
00404.png,1
00405.png,1
00406.png,1
00407.png,1
00408.png,1
00409.png,1
00410.png,1
00411.png,1
00412.png,1
00413.png,1
00414.png,1
00415.png,1
00416.png,1
00417.png,1
00418.png,1
00419.png,1
00420.png,1
00421.png,1
00422.png,1
00423.png,1
00424.png,1
00425.png,1
00426.png,1
00427.png,1
00428.png,1
00429.png,1
00430.png,1
00431.png,1
00432.png,1
00433.png,1
00434.png,1
00435.png,1
00436.png,1
00437.png,1
00438.png,1
00439.png,1
00440.png,1
00441.png,1
00442.png,1
00443.png,1
00444.png,1
00445.png,1
00446.png,1
00447.png,1
00448.png,1
00449.png,1
00450.png,1
00451.png,1
00452.png,1
00453.png,1
00454.png,1
00455.png,1
00456.png,1
00457.png,1
00458.png,1
00459.png,1
00460.png,1
00461.png,1
00462.png,1
00463.png,1
00464.png,1
00465.png,1
00466.png,1
00467.png,1
00468.png,1
00469.png,1
00470.png,1
00471.png,1
00472.png,1
00473.png,1
00474.png,1
00475.png,1
00476.png,1
00477.png,1
00478.png,1
00479.png,1
00480.png,1
00481.png,1
00482.png,1
00483.png,1
00484.png,1
00485.png,1
00486.png,1
00487.png,1
00488.png,1
00489.png,1
00490.png,1
00491.png,1
00492.png,1
00493.png,1
00494.png,1
00495.png,1
00496.png,1
00497.png,1
00498.png,1
00499.png,1
00500.png,1
00501.png,1
00502.png,1
00503.png,1
00504.png,1
00505.png,1
00506.png,1
00507.png,1
00508.png,1
00509.png,1
00510.png,1
00511.png,1
00512.png,1
00513.png,1
00514.png,1
00515.png,1
00516.png,1
00517.png,1
00518.png,1
00519.png,1
00520.png,1
00521.png,1
00522.png,1
00523.png,1
00524.png,1
00525.png,1
00526.png,1
00527.png,1
00528.png,1
00529.png,1
00530.png,1
00531.png,1
00532.png,1
00533.png,1
00534.png,1
00535.png,1
00536.png,1
00537.png,1
00538.png,1
00539.png,1
00540.png,1
00541.png,1
00542.png,1
00543.png,1
00544.png,1
00545.png,1
00546.png,1
00547.png,1
00548.png,1
00549.png,1
00550.png,1
00551.png,1
00552.png,1
00553.png,1
00554.png,1
00555.png,1
00556.png,1
00557.png,1
00558.png,1
00559.png,1
00560.png,1
00561.png,1
00562.png,1
00563.png,1
00564.png,1
00565.png,1
00566.png,1
00567.png,1
00568.png,1
00569.png,1
00570.png,1
00571.png,1
00572.png,1
00573.png,1
00574.png,1
00575.png,1
00576.png,1
00577.png,1
00578.png,1
00579.png,1
00580.png,1
00581.png,1
00582.png,1
00583.png,1
00584.png,1
00585.png,1
00586.png,1
00587.png,1
00588.png,1
00589.png,1
00590.png,1
00591.png,1
00592.png,1
00593.png,1
00594.png,1
00595.png,1
00596.png,1
00597.png,1
00598.png,1
00599.png,1
00600.png,1
00601.png,1
00602.png,1
00603.png,1
00604.png,1
00605.png,1
00606.png,1
00607.png,1
00608.png,1
00609.png,1
00610.png,1
00611.png,1
00612.png,1
00613.png,1
00614.png,1
00615.png,1
00616.png,1
00617.png,1
00618.png,1
00619.png,1
00620.png,1
00621.png,1
00622.png,1
00623.png,1
00624.png,1
00625.png,1
00626.png,1
00627.png,1
00628.png,1
00629.png,1
00630.png,1
00631.png,1
00632.png,1
00633.png,1
00634.png,1
00635.png,1
00636.png,1
00637.png,1
00638.png,1
00639.png,1
00640.png,1
00641.png,1
00642.png,1
00643.png,1
00644.png,1
00645.png,1
00646.png,1
00647.png,1
00648.png,1
00649.png,1
00650.png,1
00651.png,1
00652.png,1
00653.png,1
00654.png,1
00655.png,1
00656.png,1
00657.png,1
00658.png,1
00659.png,1
00660.png,1
00661.png,1
00662.png,1
00663.png,1
00664.png,1
00665.png,1
00666.png,1
00667.png,1
00668.png,1
00669.png,1
00670.png,1
00671.png,1
00672.png,1
00673.png,1
00674.png,1
00675.png,1
00676.png,1
00677.png,1
00678.png,1
00679.png,1
00680.png,1
00681.png,1
00682.png,1
00683.png,1
00684.png,1
00685.png,1
00686.png,1
00687.png,1
00688.png,1
00689.png,1
00690.png,1
00691.png,1
00692.png,1
00693.png,1
00694.png,1
00695.png,1
