filename,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
00000.jpg,55.49381,51.94018,120.762085,58.3099,166.68965,65.1352,202.8087,57.75556,63.06527,72.22769,86.47186,74.64924,112.492226,77.244606,161.33067,86.99039,174.96927,80.69083,191.83702,82.57564,160.07684,143.19525,95.01321,176.36215,135.54208,176.63841,164.15797,176.04912
00001.jpg,22.248571,18.127468,36.824158,16.803097,56.49296,18.831202,77.270775,23.758518,25.32525,26.356588,32.377583,25.726906,36.50902,27.27477,59.323498,29.88416,67.141106,30.442272,73.27536,31.907766,41.068497,47.503365,30.221762,61.41229,42.47769,64.40818,57.246773,65.09193
00002.jpg,26.747105,94.554695,37.40097,70.50154,57.21425,44.45266,74.909294,23.000824,40.788578,96.06461,44.381817,88.134384,51.71336,77.755844,73.74822,53.762894,75.88225,44.95136,81.071846,36.138596,88.21549,81.891754,92.93333,112.91746,107.18232,96.51892,114.94421,84.20718
00003.jpg,34.55065,18.10995,63.811802,25.627085,85.75422,33.53303,105.040146,34.93742,36.62023,28.56808,46.885185,33.236534,58.863483,35.911335,82.03795,44.092888,86.62631,43.82685,94.86325,45.764313,71.29021,69.02352,44.046036,82.80026,59.91836,86.71853,73.007,87.934845
00004.jpg,32.59631,54.738705,71.16915,43.863346,102.57752,38.106403,133.69536,33.69895,36.55716,64.02048,55.56148,60.846703,71.29588,61.5499,107.52503,56.763973,114.79809,49.618916,127.51118,48.969467,111.699,101.869705,75.98841,133.16669,103.40092,127.680336,123.561356,120.284874
00005.jpg,40.71889,36.87333,70.73771,37.656048,105.592224,40.061882,145.01302,38.937943,49.16165,48.96859,61.85525,49.330467,73.2409,56.999294,108.82112,56.71411,122.10851,54.86183,135.74104,55.09708,77.2888,97.64484,65.28943,117.35779,82.672874,122.35623,112.45253,117.236725
00006.jpg,43.4917,44.11614,87.005104,42.63983,125.41652,45.950424,154.81973,45.462395,48.305725,57.378372,66.67125,59.363274,82.886475,61.36452,124.60348,65.67367,134.41788,63.353745,145.94122,62.901382,118.640335,107.48892,74.027054,133.90619,105.40418,136.08032,130.41129,132.13873
00007.jpg,102.0848,110.05752,198.40584,99.00121,284.17868,101.962006,360.91608,110.50847,118.37856,134.69366,149.1558,135.73827,191.04417,137.33582,290.22858,150.42621,308.51596,135.8807,337.3025,143.57552,278.20477,251.5576,172.56274,317.3596,246.5529,326.28265,294.9915,323.60046
00008.jpg,15.868954,16.351236,34.335403,13.908209,52.84272,15.863803,64.87859,21.04926,17.40818,23.943,25.424547,24.269655,32.344337,24.433672,51.225212,26.183329,56.298813,27.348885,61.888897,27.947884,46.37698,34.203636,30.03932,52.859795,42.310143,51.872036,52.70164,53.608643
00009.jpg,22.249302,16.646305,38.945145,19.819288,55.940784,21.539375,70.60188,18.925592,20.969149,25.885427,30.298038,28.989246,36.138557,28.772203,56.52755,30.843655,61.01839,31.149162,65.86644,29.357327,48.501423,53.634052,30.29947,65.56045,41.548344,64.69435,52.219727,63.8348
00010.jpg,102.6778,286.3141,102.42842,219.01543,88.286575,153.75664,72.22822,90.93825,136.37497,266.56567,134.9376,248.60675,128.94876,206.26016,122.91636,160.29121,108.297554,135.9359,98.91921,114.329636,195.46107,174.34874,234.98512,208.44312,243.42374,164.92188,210.96376,134.12967
00011.jpg,29.043163,38.24065,56.58852,31.347048,84.01469,28.017214,104.39981,27.474728,31.027632,45.484604,47.901623,45.592106,55.76207,42.468506,85.22995,44.42396,92.73597,42.799656,100.745316,41.180283,85.278175,79.34994,51.738644,98.06198,78.51274,98.80407,95.52281,95.22596
00012.jpg,15.09769,77.18002,53.65539,48.26255,91.79052,30.70834,122.12764,22.541624,30.254812,87.7236,45.633614,77.57594,61.572636,72.64245,100.44829,53.451565,109.06235,47.44034,121.761284,41.821312,107.68985,74.59258,93.89448,135.07335,120.58856,116.122635,137.0408,109.21067
00013.jpg,12.1403885,12.098728,24.623781,12.539236,38.155933,13.54448,50.217037,14.538476,14.424607,18.153652,18.932993,18.756042,23.425297,18.727242,39.20163,19.753456,43.538895,19.432386,47.75166,19.996494,31.32255,33.39174,21.294462,42.21049,29.984865,43.412243,38.34433,42.77667
00014.jpg,23.849428,95.76263,72.06059,63.79118,105.35106,43.902874,154.00562,31.733376,41.223145,98.98701,58.50165,86.47582,75.16085,85.65937,119.77371,69.0637,135.13734,52.193707,149.28285,49.351845,126.07998,108.47924,106.22141,163.98128,135.62372,152.07593,157.3458,134.50294
00015.jpg,53.749916,39.004753,112.31942,45.58977,160.61009,51.712765,214.7465,47.3484,66.256645,62.27829,88.173645,62.398457,108.76983,60.797535,168.16542,72.84721,186.27614,63.57982,207.62355,70.28548,140.83908,137.4229,97.0813,166.62297,133.29387,169.21248,170.69608,169.9677
00016.jpg,28.903748,89.818634,77.9401,65.34592,111.084785,47.87296,151.11229,35.50847,39.048515,95.32349,63.057697,86.80817,78.773735,84.402466,119.607376,69.94781,132.22156,57.459206,146.99223,52.661716,132.80939,117.398476,103.20278,161.2052,135.58925,150.99084,156.56566,132.41939
00017.jpg,62.42075,126.49858,148.13058,95.81994,218.04692,83.72177,317.03278,75.601234,89.15647,145.62756,121.89914,134.40347,150.25108,139.87068,240.23741,126.15047,264.6541,106.249725,294.37732,107.29295,204.68599,212.69383,169.99464,290.65204,219.26506,285.35947,270.37317,260.93018
00018.jpg,27.126982,36.3731,57.918644,29.001486,84.16373,26.798141,106.468796,28.569271,33.565056,44.364075,44.659332,45.230495,57.511578,41.672802,85.96315,44.512096,92.97434,41.064144,101.8033,43.2082,82.5472,69.04067,57.59527,100.53228,77.7593,99.00129,90.64844,99.18518
00019.jpg,80.78193,240.31891,224.14258,177.312,344.7378,132.01697,511.15012,111.8024,142.10309,274.39966,178.49727,240.58957,228.74178,239.9039,372.32584,201.75537,430.18604,159.09949,483.99567,158.4612,341.3245,303.7498,281.97717,488.00558,379.8267,460.8274,468.2753,437.81128
00020.jpg,145.2647,31.927853,208.45438,63.397575,276.19656,98.32164,328.80283,140.8127,137.5642,63.3117,159.16258,86.32442,186.27911,89.99648,259.75385,135.12988,270.90988,144.32007,295.79538,158.96873,188.41246,183.74626,111.002975,203.54672,147.12817,233.66344,181.75319,256.4245
00021.jpg,154.16989,458.63593,426.69336,388.3974,605.20374,295.92764,915.5584,165.36041,259.79166,523.8225,354.039,482.67508,435.165,474.50098,680.87744,384.63644,794.06757,284.46802,891.2344,274.66693,626.4109,725.96967,560.22003,965.9021,706.80164,920.3804,900.8487,796.3569
00022.jpg,62.09442,84.94419,141.99364,74.16124,217.10257,78.771675,294.01868,90.10401,80.87393,102.08417,114.52452,101.07062,131.40526,101.579895,220.09708,113.87007,247.21115,106.814705,270.38715,111.098015,182.37279,188.51892,109.99146,219.30014,175.55269,239.40807,225.85909,226.75764
00023.jpg,315.50424,502.48297,752.5996,442.12128,1083.5634,409.96515,1404.847,393.9989,405.72928,563.69226,558.54266,562.59265,712.55237,544.80145,1094.2594,560.2724,1205.9099,500.30792,1313.069,516.51025,1115.4884,974.4363,695.8101,1215.7476,1028.696,1267.2222,1215.0234,1178.4333
00024.jpg,29.485245,82.67792,81.30276,64.35997,129.6184,49.098423,166.34772,33.25706,43.016758,96.61958,65.364334,93.05691,86.571236,90.23566,134.32219,73.6905,144.35551,64.378204,162.82013,56.954174,140.69872,130.02327,109.740204,177.27982,144.26471,164.85562,173.04416,150.51335
00025.jpg,16.901289,19.63925,34.889107,14.853681,49.259377,16.161348,64.65551,18.81568,21.427607,25.168839,28.33413,22.961012,34.192596,22.900673,51.811565,25.756481,57.447723,23.948889,61.833157,26.638044,46.32612,36.29723,31.239632,55.071373,44.13824,54.25371,54.69641,55.339127
00026.jpg,19.111826,91.96866,64.85816,70.8523,98.879486,50.47482,143.4039,24.768164,35.479916,100.64423,55.3583,90.607285,65.078735,86.15106,113.56062,65.64145,130.39085,52.606907,141.37283,42.935333,118.37564,121.40772,96.526276,155.85777,131.24174,146.89078,156.0991,119.64183
00027.jpg,44.879646,40.58085,89.97503,38.68841,141.21877,46.221928,187.37573,53.45303,52.53853,60.37174,73.115295,61.429993,89.92142,66.57262,143.51418,70.55781,157.20062,72.93925,173.06602,76.203606,108.18215,113.45755,75.10373,147.29889,103.75348,149.62607,133.9071,151.26776
00028.jpg,31.559397,33.180798,54.585552,34.500523,78.05208,32.211998,113.18624,29.07623,38.86621,47.904255,46.980583,44.626457,55.786434,46.359543,85.88207,44.22326,99.37377,40.667877,110.64412,42.83586,60.966236,81.38374,55.088184,105.55966,69.448654,106.23381,90.42306,102.79559
00029.jpg,483.24185,208.7448,425.90152,296.5589,346.55936,391.30844,291.75723,494.57373,432.97385,215.38615,399.3603,238.63283,376.2085,268.56586,315.31177,370.4528,289.1027,407.47382,266.84836,446.70285,241.13318,256.04126,235.83412,138.98036,179.18277,204.52226,133.21393,269.99915
